Apr  9 04:00:00 VPX-13 newsyslog[72292]: logfile turned over due to size>100K
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88248 0 :  "TRACE weeknumofyear CALL 0 : CALL WEEKNUMOFYEAR; self = "Fri, 09 Apr 2021 04:21:09 GMT"" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88249 0 :  "TRACE weeknumofyear CALL 0 : LINE 15; getYearBeginDayOfWeek = function 0x146787600" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88250 0 :  "TRACE weeknumofyear CALL 0 : LINE 32; getDayAdd = function 0x146787680" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88251 0 :  "TRACE weeknumofyear CALL 0 : LINE 65; getWeekNumberOfYear = function 0x14675cb00" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88252 0 :  "TRACE weeknumofyear CALL 0 : CALL (NULL)" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88253 0 :  "TRACE weeknumofyear CALL 0 : LINE 67" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88254 0 :  "TRACE weeknumofyear CALL 0 : CALL date" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88255 0 :  "TRACE weeknumofyear CALL 0 : RETURN FROM date; return = "099"" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88256 0 :  "TRACE weeknumofyear CALL 0 : LINE 40; dayOfYear = "099"" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88257 0 :  "TRACE weeknumofyear CALL 0 : CALL getDayAdd" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88258 0 :  "TRACE weeknumofyear CALL 0 : LINE 41" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88259 0 :  "TRACE weeknumofyear CALL 0 : CALL getYearBeginDayOfWeek" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88260 0 :  "TRACE weeknumofyear CALL 0 : LINE 22" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88261 0 :  "TRACE weeknumofyear CALL 0 : CALL date" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88262 0 :  "TRACE weeknumofyear CALL 0 : RETURN FROM date; return = {["day"]=9,["hour"]=4,["isdst"]=false,["min"]=21,["month"]=4,["sec"]=9,["wday"]=6,["yday"]=99,["year"]=2021}" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88263 0 :  "TRACE weeknumofyear CALL 0 : CALL time" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88264 0 :  "TRACE weeknumofyear CALL 0 : RETURN FROM time; return = 1609502400" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88265 0 :  "TRACE weeknumofyear CALL 0 : CALL __newindex; t = {}; k = "yearBegin"; v = 1609502400" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88266 0 :  "TRACE weeknumofyear CALL 0 : LINE 10" 
Apr  9 04:21:09 <local0.debug> 192.168.101.5 04/09/2021:04:21:09 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88267 0 :  "TRACE weeknumofyear CALL 0 : CALL error" 
Apr  9 04:21:10 <local0.err> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76359 0 :  "Runtime error: Extension weeknumofyear, line 10: attempt to update or create a global" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76360 0 :  "TRACE weeknumofyear CALL 0 : CALL WEEKNUMOFYEAR; self = "Fri, 09 Apr 2021 04:21:10 GMT"" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76361 0 :  "TRACE weeknumofyear CALL 0 : LINE 15; getYearBeginDayOfWeek = function 0x14675c700" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76362 0 :  "TRACE weeknumofyear CALL 0 : LINE 32; getDayAdd = function 0x14675c780" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76363 0 :  "TRACE weeknumofyear CALL 0 : LINE 65; getWeekNumberOfYear = function 0x14675c600" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76364 0 :  "TRACE weeknumofyear CALL 0 : CALL (NULL)" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76365 0 :  "TRACE weeknumofyear CALL 0 : LINE 67" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76366 0 :  "TRACE weeknumofyear CALL 0 : CALL date" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76367 0 :  "TRACE weeknumofyear CALL 0 : RETURN FROM date; return = "099"" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76368 0 :  "TRACE weeknumofyear CALL 0 : LINE 40; dayOfYear = "099"" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76369 0 :  "TRACE weeknumofyear CALL 0 : CALL getDayAdd" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76370 0 :  "TRACE weeknumofyear CALL 0 : LINE 41" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76371 0 :  "TRACE weeknumofyear CALL 0 : CALL getYearBeginDayOfWeek" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76372 0 :  "TRACE weeknumofyear CALL 0 : LINE 22" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76373 0 :  "TRACE weeknumofyear CALL 0 : CALL date" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76374 0 :  "TRACE weeknumofyear CALL 0 : RETURN FROM date; return = {["day"]=9,["hour"]=4,["isdst"]=false,["min"]=21,["month"]=4,["sec"]=10,["wday"]=6,["yday"]=99,["year"]=2021}" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76375 0 :  "TRACE weeknumofyear CALL 0 : CALL time" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76376 0 :  "TRACE weeknumofyear CALL 0 : RETURN FROM time; return = 1609502400" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76377 0 :  "TRACE weeknumofyear CALL 0 : CALL __newindex; t = {}; k = "yearBegin"; v = 1609502400" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76378 0 :  "TRACE weeknumofyear CALL 0 : LINE 10" 
Apr  9 04:21:10 <local0.debug> 192.168.101.5 04/09/2021:04:21:10 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76379 0 :  "TRACE weeknumofyear CALL 0 : CALL error" 
Apr  9 04:21:15 <local0.err> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88268 0 :  "Runtime error: Extension weeknumofyear, line 10: attempt to update or create a global" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88269 0 :  "TRACE weeknumofyear CALL 1 : CALL WEEKNUMOFYEAR; self = "Fri, 09 Apr 2021 04:21:15 GMT"" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88270 0 :  "TRACE weeknumofyear CALL 1 : LINE 15; getYearBeginDayOfWeek = function 0x146787600" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88271 0 :  "TRACE weeknumofyear CALL 1 : LINE 32; getDayAdd = function 0x1306d0d00" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88272 0 :  "TRACE weeknumofyear CALL 1 : LINE 65; getWeekNumberOfYear = function 0x1306d0c80" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88273 0 :  "TRACE weeknumofyear CALL 1 : CALL (NULL)" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88274 0 :  "TRACE weeknumofyear CALL 1 : LINE 67" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88275 0 :  "TRACE weeknumofyear CALL 1 : CALL date" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88276 0 :  "TRACE weeknumofyear CALL 1 : RETURN FROM date; return = "099"" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88277 0 :  "TRACE weeknumofyear CALL 1 : LINE 40; dayOfYear = "099"" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88278 0 :  "TRACE weeknumofyear CALL 1 : CALL getDayAdd" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88279 0 :  "TRACE weeknumofyear CALL 1 : LINE 41" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88280 0 :  "TRACE weeknumofyear CALL 1 : CALL getYearBeginDayOfWeek" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88281 0 :  "TRACE weeknumofyear CALL 1 : LINE 22" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88282 0 :  "TRACE weeknumofyear CALL 1 : CALL date" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88283 0 :  "TRACE weeknumofyear CALL 1 : RETURN FROM date; return = {["day"]=9,["hour"]=4,["isdst"]=false,["min"]=21,["month"]=4,["sec"]=15,["wday"]=6,["yday"]=99,["year"]=2021}" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88284 0 :  "TRACE weeknumofyear CALL 1 : CALL time" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88285 0 :  "TRACE weeknumofyear CALL 1 : RETURN FROM time; return = 1609502400" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88286 0 :  "TRACE weeknumofyear CALL 1 : CALL __newindex; t = {}; k = "yearBegin"; v = 1609502400" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88287 0 :  "TRACE weeknumofyear CALL 1 : LINE 10" 
Apr  9 04:21:15 <local0.debug> 192.168.101.5 04/09/2021:04:21:15 GMT VPX-13 0-PPE-0 : default NSEXTENSION Message 88288 0 :  "TRACE weeknumofyear CALL 1 : CALL error" 
Apr  9 04:21:17 <local0.info> 192.168.101.5 04/09/2021:04:21:17 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 88289 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:21:17 <local0.debug> 192.168.101.5 04/09/2021:04:21:17 GMT VPX-13 0-PPE-0 : default SSLLOG SSL_HANDSHAKE_SUCCESS 88290 0 :  SPCBId 12567 - ClientIP 192.168.101.101 - ClientPort 43654 - VserverServiceIP 192.168.101.5 - VserverServicePort 443 - ClientVersion TLSv1.2 - CipherSuite "TLS1-AES-256-CBC-SHA" - Session New  - HandshakeTime 6 ms 
Apr  9 04:21:17 <local0.info> 192.168.101.5 04/09/2021:04:21:17 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88291 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:21:18 <local0.info> 192.168.101.5 04/09/2021:04:21:18 GMT VPX-13 0-PPE-0 : default EVENT MONITORUP 88292 0 :  Monitor DBSMonServiceBinding_login.microsoftonline.com:443_(tcp-default)(vpndbssvc_1339998057) - State UP 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76380 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ssl" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88293 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol http" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88294 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol tcp" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88295 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol udp" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88296 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol icmp" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76381 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat lb vserver" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88297 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ssl vserver" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88298 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol ip" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76382 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat system" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76383 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat cmp" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88299 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol icmpv6" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88300 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat protocol ipv6" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76384 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat cs vserver" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88301 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat gslb vserver" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76385 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat cr vserver" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88302 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat authentication vserver" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76386 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat vpn vserver" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76387 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat service" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88303 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ns" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88304 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat interface" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88305 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat aaa" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76388 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat ns globalcntr -counters allnic_err_rl_pkt_drops allnic_err_rl_cpu_pkt_drops allnic_err_rl_pps_pkt_drops allnic_err_rl_rate_pkt_drops rl_tot_ssl_rl_enforced rl_tot_ssl_rl_data_limited rl_tot_ssl_rl_sess_limited" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88306 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_dns-tcp_53_marigold.local" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76389 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_HTTP_ITM_API" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76390 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_ntp-udp_53_marigold.local" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76391 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_HTTPS_443_CVAD" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88307 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_HTTP_80_CVAD" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76392 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_ldap_ssl_tcp_636" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-0 : default API CMD_EXECUTED 88308 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_HTTPS_443_CRL-Refresh" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76393 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_SSL_BRIDGE_444_CVAD" - Status "Success" 
Apr  9 04:21:21 <local0.info> 192.168.101.5 04/09/2021:04:21:21 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76394 0 :  User nsroot - Remote_ip 192.168.101.91 - Command "stat serviceGroup svcg_dns-udp_53_marigold.local" - Status "Success" 
Apr  9 04:21:31 <local0.debug> 192.168.101.5 04/09/2021:04:21:31 GMT VPX-13 0-PPE-0 : default SSLLOG SSL_HANDSHAKE_SUCCESS 88309 0 :  SPCBId 12568 - ClientIP 192.168.101.101 - ClientPort 43665 - VserverServiceIP 192.168.101.5 - VserverServicePort 443 - ClientVersion TLSv1.2 - CipherSuite "TLS1-AES-256-CBC-SHA" - Session New  - HandshakeTime 5 ms 
Apr  9 04:21:31 <local0.info> 192.168.101.5 04/09/2021:04:21:31 GMT VPX-13 0-PPE-1 : default API CMD_EXECUTED 76395 0 :  User nsroot - Remote_ip 192.168.101.101 - Command "stat ns" - Status "Success" 
Apr  9 04:21:40 <local0.info> 192.168.101.5 04/09/2021:04:21:40 GMT VPX-13 0-PPE-1 : default CLI CMD_EXECUTED 76396 0 :  User nsroot - Remote_ip 192.168.1.130 - Command "shell tail -f /var/log/ns.log" - Status "Success" 
Apr  9 04:21:45 <local0.err> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76397 0 :  "Runtime error: Extension weeknumofyear, line 10: attempt to update or create a global" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default SSLLOG SSL_HANDSHAKE_SUCCESS 76398 0 :  SPCBId 14682 - ClientIP 192.168.101.101 - ClientPort 43916 - VserverServiceIP 192.168.101.5 - VserverServicePort 443 - ClientVersion TLSv1.2 - CipherSuite "TLS1-AES-256-CBC-SHA" - Session New  - HandshakeTime 4 ms 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76399 0 :  "TRACE weeknumofyear CALL 1 : CALL WEEKNUMOFYEAR; self = "Fri, 09 Apr 2021 04:21:45 GMT"" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76400 0 :  "TRACE weeknumofyear CALL 1 : LINE 15; getYearBeginDayOfWeek = function 0x14675c700" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76401 0 :  "TRACE weeknumofyear CALL 1 : LINE 32; getDayAdd = function 0x131da0f80" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76402 0 :  "TRACE weeknumofyear CALL 1 : LINE 65; getWeekNumberOfYear = function 0x131da0f00" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76403 0 :  "TRACE weeknumofyear CALL 1 : CALL (NULL)" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76404 0 :  "TRACE weeknumofyear CALL 1 : LINE 67" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76405 0 :  "TRACE weeknumofyear CALL 1 : CALL date" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76406 0 :  "TRACE weeknumofyear CALL 1 : RETURN FROM date; return = "099"" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76407 0 :  "TRACE weeknumofyear CALL 1 : LINE 40; dayOfYear = "099"" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76408 0 :  "TRACE weeknumofyear CALL 1 : CALL getDayAdd" 
Apr  9 04:21:45 <local0.debug> 192.168.101.5 04/09/2021:04:21:45 GMT VPX-13 0-PPE-1 : default NSEXTENSION Message 76409 0 :  "TRACE weeknumofyear CALL 1 : LINE 41" 
